PlotName	TypeOfName	Family	Genus	Species	PlotType	MinimumElevationMeters	SpeciesName
WAY-01	SpeciesName	Annonaceae	Oxandra	espintana	abergPP	935	Oxandra espintana
nPT_Arroyo_186	SpeciesName	Primulaceae	Myrsine	coriacea	PT	2872	Myrsine coriacea
nPT_Tamboq_138	SpeciesName	Salicaceae	Banara	tomentosa	PT	850	Banara tomentosa
TRU-03	MorphoSpeciesName	Burseraceae	Protium	AF4603	abergPP	1890	Protium AF4603
nPT_Tumupa_21	SpeciesName	Moraceae	Perebea	guianensis	PT	1247	Perebea guianensis
nPT_Apache_364	SpeciesName	Lauraceae	Ocotea	aciphylla	PT	2000	Ocotea aciphylla
QU-01	SpeciesName	Apocynaceae	Aspidosperma	cylindrocarpon	abergPT	795	Aspidosperma cylindrocarpon
nPT_Palmar_161	SpeciesName	Fabaceae	Myroxylon	peruiferum	PT	933	Myroxylon peruiferum
nPP_Tocoaq_29	SpeciesName	Cyatheaceae	Cyathea	herzogii	PP	2766	Cyathea herzogii
nPT_Pino_262	SpeciesName	Clethraceae	Clethra	ferruginea	PT	3324	Clethra ferruginea
nPT_Wayrap_163	SpeciesName	Myristicaceae	Virola	peruviana	PT	1538	Virola peruviana
nPT_Sanmig_181	SpeciesName	Euphorbiaceae	Mabea	macbridei	PT	1242	Mabea macbridei
nPT_Ladera_128	SpeciesName	Moraceae	Pseudolmedia	macrophylla	PT	1242	Pseudolmedia macrophylla
nPT_Arriba_240	SpeciesName	Melastomataceae	Graffenrieda	emarginata	PT	1054	Graffenrieda emarginata
TU-06	SpeciesName	Euphorbiaceae	Alchornea	glandulosa	abergPT	1626	Alchornea glandulosa
nPP_Sumpul_33	SpeciesName	Arecaceae	Dictyocaryum	lamarckianum	PP	1626	Dictyocaryum lamarckianum
nPT_Cuchil_100	SpeciesName	Chrysobalanaceae	Hirtella	triandra	PT	1626	Hirtella triandra
nPT_Alsudd_248	SpeciesName	Bignoniaceae	Handroanthus	chrysanthus	PT	840	Handroanthus chrysanthus
nPT_Santaa_328	SpeciesName	Fabaceae	Lachesiodendron	viridiflorum	PT	840	Lachesiodendron viridiflorum
nPP_Tintay_24	MorphoSpeciesName	Fabaceae	Lonchocarpus	MJM7613	PP	1020	Lonchocarpus MJM7613
nPT_Cochay_205	SpeciesName	Urticaceae	Cecropia	membranacea	PT	1250	Cecropia membranacea
nPT_Arriba_239	SpeciesName	Chrysobalanaceae	Hirtella	lightioides	PT	1250	Hirtella lightioides
nPT_Marimo_37	SpeciesName	Cyatheaceae	Cyathea	delgadoi	PT	2498	Cyathea delgadoi
nPT_Rincon_257	SpeciesName	Myrtaceae	Myrcia	sintenisii	PT	2498	Myrcia sintenisii
nPP_Tapuri_45	SpeciesName	Rubiaceae	Schizocalyx	obovatus	PP	1223	Schizocalyx obovatus
