"Species","Genus","Family","species.relative","genus.relative"
"Oxandra espintana","Oxandra","Annonaceae",,
"Myrsine coriacea","Myrsine","Primulaceae",,
"Banara tomentosa","Banara","Salicaceae",,
"Protium AF4603","Protium","Burseraceae",,
"Perebea guianensis","Perebea","Moraceae",,
"Ocotea aciphylla","Ocotea","Lauraceae",,
"Aspidosperma cylindrocarpon","Aspidosperma","Apocynaceae",,
"Myroxylon peruiferum","Myroxylon","Fabaceae",,
"Cyathea herzogii","Cyathea","Cyatheaceae",,
"Clethra ferruginea","Clethra","Clethraceae",,
"Virola peruviana","Virola","Myristicaceae",,
"Mabea macbridei","Mabea","Euphorbiaceae",,
"Pseudolmedia macrophylla","Pseudolmedia","Moraceae",,
"Graffenrieda emarginata","Graffenrieda","Melastomataceae",,
"Alchornea glandulosa","Alchornea","Euphorbiaceae",,
"Dictyocaryum lamarckianum","Dictyocaryum","Arecaceae",,
"Hirtella triandra","Hirtella","Chrysobalanaceae",,
"Handroanthus chrysanthus","Handroanthus","Bignoniaceae",,
"Lachesiodendron viridiflorum","Lachesiodendron","Fabaceae",,
"Lonchocarpus MJM7613","Lonchocarpus","Fabaceae",,
"Cecropia membranacea","Cecropia","Urticaceae",,
"Hirtella lightioides","Hirtella","Chrysobalanaceae",,
"Cyathea delgadoi","Cyathea","Cyatheaceae",,
"Myrcia sintenisii","Myrcia","Myrtaceae",,
"Schizocalyx obovatus","Schizocalyx","Rubiaceae",,
"Vismia glabra","Vismia","Hypericaceae",,
"Licaria guianensis","Licaria","Lauraceae",,
"Pouteria AF15574","Pouteria","Sapotaceae",,
"Miconia elongata","Miconia","Melastomataceae",,
"Clusia sphaerocarpa","Clusia","Clusiaceae",,
"Clethra revoluta","Clethra","Clethraceae",,
"Pouteria caimito","Pouteria","Sapotaceae",,
"Weinmannia ovata","Weinmannia","Cunoniaceae",,
"Heisteria nitida","Heisteria","Olacaceae",,
"Alibertia claviflora","Alibertia","Rubiaceae",,
"Ampelocera edentula","Ampelocera","Ulmaceae",,
"Myroxylon balsamum","Myroxylon","Fabaceae",,
"Euterpe precatoria","Euterpe","Arecaceae",,
"Miconia LC3548","Miconia","Melastomataceae",,
"Piper trichogynum","Piper","Piperaceae",,
"Inga acreana","Inga","Fabaceae",,
"Pseudolmedia laevigata","Pseudolmedia","Moraceae",,
"Hieronyma fendleri","Hieronyma","Phyllanthaceae",,
"Inga multinervis","Inga","Fabaceae",,
"Piper pilirameum","Piper","Piperaceae",,
"Iriartea deltoidea","Iriartea","Arecaceae",,
"Erythrina poeppigiana","Erythrina","Fabaceae",,
"Hedyosmum racemosum","Hedyosmum","Chloranthaceae",,
"Symplocos arechea","Symplocos","Symplocaceae",,
"Unonopsis floribunda","Unonopsis","Annonaceae",,
"Guapira opposita","Guapira","Nyctaginaceae",,
"Eugenia excelsa","Eugenia","Myrtaceae",,
"Gallesia integrifolia","Gallesia","Petiveriaceae",,
"Sweetia fruticosa","Sweetia","Fabaceae",,
"Cyathea bipinnatifida","Cyathea","Cyatheaceae",,
"Miconia AF11591","Miconia","Melastomataceae",,
"Clusia lechleri","Clusia","Clusiaceae",,
"Talisia AEC232","Talisia","Sapindaceae",,
"Trichilia pleeana","Trichilia","Meliaceae",,
"Ruprechtia apetala","Ruprechtia","Polygonaceae",,
"Weinmannia yungasensis","Weinmannia","Cunoniaceae",,
"Weinmannia AF20062","Weinmannia","Cunoniaceae",,
"Miconia AF10678","Miconia","Melastomataceae",,
"Weinmannia davidsonii","Weinmannia","Cunoniaceae",,
"Clethra AF16188","Clethra","Clethraceae",,
