PlotName	MinimumElevationMeters	lat	long	PlotType
FakePlot1	835	-14.2003889	-68.6558611	PP
FakePlot2	935	-14.1996944	-68.6520278	PP
FakePlot3	1150	-14.19875	-68.6398333	PP
FakePlot4	400	-14.4230556	-67.9238889	PP
FakePlot5	2872	-14.6819444	-69.0226389	PP
FakePlot6	3116	-14.6860833	-69.0285833	PP
FakePlot7	1232	-14.7601583	-68.7264222	PP
FakePlot8	850	-14.2465278	-68.5857222	PP
FakePlot9	1890	-14.4974167	-68.2491667	PP
FakePlot10	1247	-14.6704722	-68.7101389	PP
FakePlot11	2000	-14.59575	-68.9348889	PP
FakePlot12	1900	-14.5980556	-68.9313056	PP
FakePlot13	175	-13.03	-68.8488889	PP
FakePlot14	190	-13.0258333	-68.8430556	PP
FakePlot15	280	-14.6144444	-67.6530556	PP
FakePlot16	795	-14.2524167	-68.5191944	PP
FakePlot17	933	-14.2524167	-68.5253333	PP
FakePlot18	2766	-14.7663056	-68.9874722	PP
FakePlot19	3324	-14.8891944	-68.8614167	PP
FakePlot20	1522	-14.7919444	-68.6477778	PP
FakePlot21	1538	-14.77475	-68.6358056	PP
FakePlot22	1242	-15.0753611	-68.4658333	PP
FakePlot23	1054	-15.0903333	-68.4621667	PP
FakePlot24	1626	-14.4338889	-68.1963889	PP
FakePlot25	880	-14.4652778	-68.5425	PP
FakePlot26	662	-14.3250556	-68.5658611	PP
FakePlot27	840	-14.3325	-68.5668333	PP
FakePlot28	1020	-14.3334722	-68.5723889	PP
FakePlot29	1100	-14.155	-68.7241667	PP
FakePlot30	1250	-14.1455556	-68.745	PP
FakePlot31	1450	-14.1583333	-68.74	PP
FakePlot32	2498	-14.7764167	-68.9705833	PP
FakePlot33	1005	-14.5783056	-68.7771667	PP
FakePlot34	1223	-14.5719722	-68.7793056	PP
FakePlot35	1993	-14.7403333	-68.9413056	PP
FakePlot36	1804	-14.7459444	-68.9456389	PP
FakePlot37	2697	-15.2059167	-68.762	PP
FakePlot38	2369	-15.2030278	-68.7551389	PP
FakePlot39	2889	-15.1125556	-68.9181389	PP
FakePlot40	1400	-14.7791944	-68.5918611	PP
FakePlot41	1468	-14.78975	-68.5835	PP
FakePlot42	2859	-15.1323889	-68.8796667	PP
FakePlot43	2200	-14.6133611	-68.9481111	PP
FakePlot44	2400	-14.6162778	-68.9539167	PP
FakePlot45	2510	-14.6273889	-68.9584444	PP
FakePlot46	362	-14.3573333	-67.9613056	PP
FakePlot47	3035	-14.8863611	-68.8494722	PP
FakePlot48	1000	-14.5414444	-68.6901389	PP
FakePlot49	1180	-14.5514444	-68.6858056	PP
FakePlot50	850	-14.54675	-68.6935	PP
