PlotName	TypeOfName	Family	Genus	Species	PlotType	MinimumElevationMeters	SpeciesName
FakePlot28	MorphoSpeciesName	Fabaceae	Ormosia	AM1981	PP	835	Ormosia AM1981
FakePlot22	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot33	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot49	SpeciesName	Ulmaceae	Ampelocera	ruizii	PP	835	Ampelocera ruizii
FakePlot14	SpeciesName	Petiveriaceae	Gallesia	integrifolia	PP	835	Gallesia integrifolia
FakePlot40	SpeciesName	Capparaceae	Cynophalla	amplissima	PP	835	Cynophalla amplissima
FakePlot44	SpeciesName	Meliaceae	Trichilia	pleeana	PP	835	Trichilia pleeana
FakePlot41	MorphoSpeciesName	Fabaceae	Ormosia	AM1981	PP	835	Ormosia AM1981
FakePlot26	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot44	SpeciesName	Meliaceae	Trichilia	pleeana	PP	835	Trichilia pleeana
FakePlot32	MorphoSpeciesName	Sapotaceae	Chrysophyllum	LC1660	PP	835	Chrysophyllum LC1660
FakePlot33	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot8	SpeciesName	Sapotaceae	Pouteria	ramiflora	PP	835	Pouteria ramiflora
FakePlot45	SpeciesName	Moraceae	Batocarpus	amazonicus	PP	835	Batocarpus amazonicus
FakePlot11	SpeciesName	Rutaceae	Rauia	resinosa	PP	835	Rauia resinosa
FakePlot40	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot19	SpeciesName	Petiveriaceae	Gallesia	integrifolia	PP	835	Gallesia integrifolia
FakePlot8	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot10	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot16	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot31	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot9	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot13	SpeciesName	Petiveriaceae	Gallesia	integrifolia	PP	835	Gallesia integrifolia
FakePlot18	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot35	SpeciesName	Sapotaceae	Chrysophyllum	gonocarpum	PP	835	Chrysophyllum gonocarpum
FakePlot30	SpeciesName	Petiveriaceae	Gallesia	integrifolia	PP	835	Gallesia integrifolia
FakePlot29	SpeciesName	Rutaceae	Rauia	resinosa	PP	835	Rauia resinosa
FakePlot42	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot35	SpeciesName	Rubiaceae	Pogonopus	tubulosus	PP	835	Pogonopus tubulosus
FakePlot26	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot18	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot34	SpeciesName	Meliaceae	Trichilia	pleeana	PP	835	Trichilia pleeana
FakePlot12	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot20	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot46	SpeciesName	Cannabaceae	Celtis	loxensis	PP	835	Celtis loxensis
FakePlot28	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot46	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot50	MorphoSpeciesName	Sapotaceae	Chrysophyllum	LC1660	PP	835	Chrysophyllum LC1660
FakePlot12	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot49	SpeciesName	Fabaceae	Holocalyx	balansae	PP	835	Holocalyx balansae
FakePlot35	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot9	SpeciesName	Capparaceae	Cynophalla	amplissima	PP	835	Cynophalla amplissima
FakePlot5	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot35	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot24	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot8	SpeciesName	Euphorbiaceae	Hura	crepitans	PP	835	Hura crepitans
FakePlot24	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot31	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot4	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot42	SpeciesName	Malvaceae	Ceiba	speciosa	PP	835	Ceiba speciosa
FakePlot33	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot14	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot11	MorphoSpeciesName	Sapotaceae	Chrysophyllum	LC1660	PP	835	Chrysophyllum LC1660
FakePlot7	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
FakePlot40	SpeciesName	Sapindaceae	Allophylus	petiolulatus	PP	835	Allophylus petiolulatus
FakePlot15	SpeciesName	Annonaceae	Oxandra	espintana	PP	835	Oxandra espintana
